symbol,aliases
RELIANCE.NS,Reliance Industries|Reliance|RIL
TCS.NS,Tata Consultancy|TCS
HDFCBANK.NS,HDFC Bank
ICICIBANK.NS,ICICI Bank|ICICI
INFY.NS,Infosys
BHARTIARTL.NS,Bharti Airtel|Airtel
SBIN.NS,State Bank of India|SBI
LICI.NS,LIC of India|Life Insurance Corporation
ITC.NS,ITC Ltd|ITC
HINDUNILVR.NS,Hindustan Unilever|HUL
LT.NS,Larsen & Toubro|Larsen and Toubro|L&T
KOTAKBANK.NS,Kotak Mahindra Bank|Kotak
AXISBANK.NS,Axis Bank
MARUTI.NS,Maruti Suzuki|Maruti
SUNPHARMA.NS,Sun Pharma|Sun Pharmaceutical
TITAN.NS,Titan Company|Titan
ULTRACEMCO.NS,UltraTech Cement|UltraTech
BAJFINANCE.NS,Bajaj Finance
NTPC.NS,NTPC
ONGC.NS,ONGC|Oil and Natural Gas Corporation
TMPV.NS,Tata Motors PV|Tata Motors
TMCV.NS,Tata Motors CV
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports
WIPRO.NS,Wipro
POWERGRID.NS,Power Grid
M&M.NS,Mahindra & Mahindra|Mahindra and Mahindra|M&M
JSWSTEEL.NS,JSW Steel
TATASTEEL.NS,Tata Steel
COALINDIA.NS,Coal India
HCLTECH.NS,HCL Technologies|HCLTech|HCL Tech
ASIANPAINT.NS,Asian Paints
BAJAJFINSV.NS,Bajaj Finserv
DRREDDY.NS,Dr Reddy|Dr. Reddy
NESTLEIND.NS,Nestle India|Nestle
GRASIM.NS,Grasim
HINDALCO.NS,Hindalco
TECHM.NS,Tech Mahindra
INDUSINDBK.NS,IndusInd Bank|IndusInd
CIPLA.NS,Cipla
EICHERMOT.NS,Eicher Motors|Royal Enfield
BRITANNIA.NS,Britannia
APOLLOHOSP.NS,Apollo Hospitals
DIVISLAB.NS,Divi's Lab|Divis Lab
TATACONSUM.NS,Tata Consumer
HEROMOTOCO.NS,Hero MotoCorp|Hero Moto
BAJAJ-AUTO.NS,Bajaj Auto
SBILIFE.NS,SBI Life
HDFCLIFE.NS,HDFC Life
BPCL.NS,BPCL|Bharat Petroleum
SHRIRAMFIN.NS,Shriram Finance
ZOMATO.NS,Zomato|Eternal Ltd
PAYTM.NS,Paytm|One97
DMART.NS,DMart|Avenue Supermarts
IRCTC.NS,IRCTC
VEDL.NS,Vedanta
